Site,Frequency,ReZxxCal,ImZxxCal,ReZxyCal,ImZxyCal,ReZyxCal,ImZyxCal,ReZyyCal,ImZyyCal,ReZxxObs,ImZxxObs,ReZxyObs,ImZxyObs,ReZyxObs,ImZyxObs,ReZyyObs,ImZyyObs,ReZxxErr,ImZxxErr,ReZxyErr,ImZxyErr,ReZyxErr,ImZyxErr,ReZyyErr,ImZyyErr,
11,1.000000e+002,-7.795877e-003,-7.128401e-003,1.191621e-001,-1.170040e-001,-1.164239e-001,1.234401e-001,5.888233e-003,6.168252e-004,-1.199800e-002,-1.592200e-002,1.249800e-001,-1.185300e-001,-1.126200e-001,1.223100e-001,4.684900e-003,-2.196900e-003,8.790000e-003,8.790000e-003,8.461200e-003,8.461200e-003,8.461200e-003,8.461200e-003,4.399600e-003,4.399600e-003,
11,1.000000e+002,-5.945436e-003,-5.395246e-003,1.179700e-001,-1.149907e-001,-1.172461e-001,1.227058e-001,4.700605e-003,5.036706e-004,-1.199800e-002,-1.592200e-002,1.249800e-001,-1.185300e-001,-1.126200e-001,1.223100e-001,4.684900e-003,-2.196900e-003,8.790000e-003,8.790000e-003,8.461200e-003,8.461200e-003,8.461200e-003,8.461200e-003,4.399600e-003,4.399600e-003,
11,1.584800e+002,-7.146363e-003,8.987361e-006,1.486350e-001,-1.533560e-001,-1.505646e-001,1.580945e-001,4.628852e-003,1.442150e-003,-4.781400e-003,-6.476500e-003,1.578800e-001,-1.521300e-001,-1.502900e-001,1.631100e-001,5.225400e-003,-2.596500e-003,6.301700e-003,6.301700e-003,1.102600e-002,1.102600e-002,1.102600e-002,1.102600e-002,5.396100e-003,5.396100e-003,
11,1.584800e+002,-6.482366e-003,2.923905e-003,1.456293e-001,-1.519103e-001,-1.506221e-001,1.568154e-001,4.330572e-003,8.730340e-004,-4.781400e-003,-6.476500e-003,1.578800e-001,-1.521300e-001,-1.502900e-001,1.631100e-001,5.225400e-003,-2.596500e-003,6.301700e-003,6.301700e-003,1.102600e-002,1.102600e-002,1.102600e-002,1.102600e-002,5.396100e-003,5.396100e-003,
11,2.511800e+002,-9.051482e-003,5.066026e-003,1.880355e-001,-1.970148e-001,-1.902944e-001,1.995351e-001,2.847447e-003,7.289728e-004,-4.827600e-003,5.755100e-003,1.969100e-001,-1.898100e-001,-1.959600e-001,2.038500e-001,6.415700e-003,-2.225900e-003,6.798900e-003,6.798900e-003,1.390500e-002,1.390500e-002,1.390500e-002,1.390500e-002,6.573000e-003,6.573000e-003,
11,2.511800e+002,-1.029084e-002,7.804531e-003,1.835829e-001,-1.977024e-001,-1.891444e-001,1.984611e-001,3.294586e-003,8.142176e-004,-4.827600e-003,5.755100e-003,1.969100e-001,-1.898100e-001,-1.959600e-001,2.038500e-001,6.415700e-003,-2.225900e-003,6.798900e-003,6.798900e-003,1.390500e-002,1.390500e-002,1.390500e-002,1.390500e-002,6.573000e-003,6.573000e-003,
11,3.981000e+002,-1.322591e-002,1.067625e-002,2.306728e-001,-2.545452e-001,-2.355652e-001,2.540914e-001,2.411110e-003,-3.239505e-004,-1.127600e-002,1.189400e-002,2.425900e-001,-2.360600e-001,-2.499000e-001,2.502200e-001,7.202400e-003,-2.109800e-003,1.117200e-002,1.117200e-002,1.729900e-002,1.729900e-002,1.729900e-002,1.729900e-002,7.727600e-003,7.727600e-003,
11,3.981000e+002,-1.110539e-002,9.106249e-003,2.353284e-001,-2.507257e-001,-2.375337e-001,2.540341e-001,1.910219e-003,-1.408549e-003,-1.127600e-002,1.189400e-002,2.425900e-001,-2.360600e-001,-2.499000e-001,2.502200e-001,7.202400e-003,-2.109800e-003,1.117200e-002,1.117200e-002,1.729900e-002,1.729900e-002,1.729900e-002,1.729900e-002,7.727600e-003,7.727600e-003,
11,6.309500e+002,-1.365013e-002,1.395705e-002,2.909991e-001,-3.222876e-001,-2.959922e-001,3.267372e-001,2.277027e-003,-4.136560e-003,-1.853600e-002,1.620300e-002,3.004600e-001,-2.981900e-001,-3.118200e-001,3.089200e-001,8.576000e-003,-2.322800e-003,1.531300e-002,1.531300e-002,2.155300e-002,2.155300e-002,2.155300e-002,2.155300e-002,9.367400e-003,9.367400e-003,
11,6.309500e+002,-1.571017e-002,1.475180e-002,2.873629e-001,-3.296595e-001,-2.938532e-001,3.282522e-001,2.368335e-003,-2.014015e-003,-1.853600e-002,1.620300e-002,3.004600e-001,-2.981900e-001,-3.118200e-001,3.089200e-001,8.576000e-003,-2.322800e-003,1.531300e-002,1.531300e-002,2.155300e-002,2.155300e-002,2.155300e-002,2.155300e-002,9.367400e-003,9.367400e-003,
