Site,Frequency,ReTzxCal,ImTzxCal,ReTzyCal,ImTzyCal,ReTzxObs,ImTzxObs,ReTzyObs,ImTzyObs,ReTzxErr,ImTzxErr,ReTzyErr,ImTzyErr,
1004,6.309500e+001,-5.107240e-002,7.389382e-003,2.320991e-001,1.611127e-001,-6.615900e-002,4.429100e-002,2.406800e-001,1.345600e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e+001,-5.047475e-002,1.051565e-002,2.315864e-001,1.562041e-001,-6.615900e-002,4.429100e-002,2.406800e-001,1.345600e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+002,-4.763655e-002,1.214317e-002,1.840859e-001,1.414223e-001,-6.786800e-002,2.071600e-002,2.040000e-001,1.305200e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+002,-4.578938e-002,7.225779e-003,1.819319e-001,1.454081e-001,-6.786800e-002,2.071600e-002,2.040000e-001,1.305200e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.584800e+002,-5.093176e-002,1.770710e-002,1.470728e-001,1.276157e-001,-6.557900e-002,1.150700e-002,1.681700e-001,1.271100e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.584800e+002,-4.610154e-002,1.279162e-002,1.435012e-001,1.296751e-001,-6.557900e-002,1.150700e-002,1.681700e-001,1.271100e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,2.511800e+002,-5.899052e-002,2.124961e-002,1.152961e-001,1.197224e-001,-6.034400e-002,9.863800e-003,1.345500e-001,1.227300e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,2.511800e+002,-5.182946e-002,1.778136e-002,1.116508e-001,1.200117e-001,-6.034400e-002,9.863800e-003,1.345500e-001,1.227300e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e+002,-6.841276e-002,2.118242e-002,8.303351e-002,1.166901e-001,-6.110300e-002,-2.201500e-003,9.961900e-002,1.189400e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,3.981000e+002,-6.016171e-002,1.991289e-002,7.990213e-002,1.157560e-001,-6.110300e-002,-2.201500e-003,9.961900e-002,1.189400e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e+002,-7.690942e-002,1.790259e-002,4.802220e-002,1.145495e-001,-7.419100e-002,1.611000e-003,6.015800e-002,1.224800e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,6.309500e+002,-6.890964e-002,1.879279e-002,4.582014e-002,1.127448e-001,-7.419100e-002,1.611000e-003,6.015800e-002,1.224800e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+003,-8.319268e-002,1.257680e-002,1.095230e-002,1.095727e-001,-8.011200e-002,5.711800e-002,-3.275100e-002,1.012200e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1004,1.000000e+003,-7.647861e-002,1.490340e-002,1.007167e-002,1.075689e-001,-8.011200e-002,5.711800e-002,-3.275100e-002,1.012200e-001,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,6.309500e-001,1.561101e-001,-6.716757e-002,8.954210e-002,1.430828e-002,1.581800e-001,-2.715200e-002,6.562200e-002,2.938400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,1.000000e+000,1.778858e-001,-4.421468e-002,8.457697e-002,1.163479e-002,1.697900e-001,-2.746900e-003,7.584700e-002,1.743400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,1.584800e+000,1.917959e-001,-1.587098e-002,8.004651e-002,8.328343e-003,1.715800e-001,1.112100e-002,8.026200e-002,9.957400e-003,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,2.511800e+000,1.940276e-001,1.786935e-002,7.489343e-002,3.146667e-003,1.758600e-001,2.432500e-002,8.455000e-002,-2.148200e-003,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,3.981000e+000,1.795463e-001,5.290185e-002,7.085758e-002,-7.757923e-003,1.761300e-001,4.308100e-002,8.608700e-002,-1.351900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,6.309500e+000,1.514875e-001,7.820115e-002,8.261308e-002,-2.726304e-002,1.481000e-001,6.857800e-002,8.911300e-002,-9.806400e-003,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,6.309500e+000,1.479065e-001,7.987677e-002,7.586317e-002,-2.458437e-002,1.481000e-001,6.857800e-002,8.911300e-002,-9.806400e-003,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1005,1.000000e+001,1.114666e-001,9.059554e-002,1.025350e-001,-3.504944e-002,1.165400e-001,7.629000e-002,9.793900e-002,-1.466400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
