MT    48
1  1  -2.052  1.667  
16
25.11800 1.8530e-01 -3.3034e-02 1.6429e-01 -1.2533e-01 -2.6873e-01 1.1096e-01 -1.3089e-01 5.0550e-02 2.9582e-02 2.9582e-02 1.2255e-02 1.2255e-02 1.2255e-02 1.2255e-02 3.0296e-02 3.0296e-02 
15.84800 1.7044e-01 -4.6528e-02 1.3521e-01 -1.0752e-01 -2.3960e-01 1.0748e-01 -1.1597e-01 5.4263e-02 2.6205e-02 2.6205e-02 1.0649e-02 1.0649e-02 1.0649e-02 1.0649e-02 2.7505e-02 2.7505e-02 
10.00000 1.4901e-01 -5.7028e-02 1.0880e-01 -9.4144e-02 -2.0425e-01 1.0661e-01 -9.6743e-02 5.8265e-02 2.2727e-02 2.2727e-02 9.1035e-03 9.1035e-03 9.1035e-03 9.1035e-03 2.4196e-02 2.4196e-02 
6.30950 1.2537e-01 -6.1704e-02 8.4087e-02 -8.1030e-02 -1.6920e-01 1.0227e-01 -7.6311e-02 5.6717e-02 1.9161e-02 1.9161e-02 7.5972e-03 7.5972e-03 7.5972e-03 7.5972e-03 2.0566e-02 2.0566e-02 
3.98100 1.0307e-01 -5.9671e-02 6.1737e-02 -6.5815e-02 -1.3685e-01 8.9622e-02 -5.7593e-02 5.0439e-02 1.5550e-02 1.5550e-02 6.0748e-03 6.0748e-03 6.0748e-03 6.0748e-03 1.6786e-02 1.6786e-02 
2.51180 8.5580e-02 -5.2412e-02 4.4367e-02 -5.2017e-02 -1.0918e-01 7.2423e-02 -4.1928e-02 4.2859e-02 1.2425e-02 1.2425e-02 4.7322e-03 4.7322e-03 4.7322e-03 4.7322e-03 1.3295e-02 1.3295e-02 
1.58480 7.1579e-02 -4.1861e-02 3.4019e-02 -3.9749e-02 -8.9973e-02 5.4787e-02 -3.2698e-02 3.4154e-02 9.8799e-03 9.8799e-03 3.7119e-03 3.7119e-03 3.8764e-03 3.8764e-03 1.0586e-02 1.0586e-02 
7  7  4.716  0.937  
23
1000.00000 -1.0477e-02 4.8743e-02 3.7412e-01 -4.4906e-01 -4.1041e-01 4.6215e-01 -9.1201e-02 6.2247e-02 2.5606e-02 2.5606e-02 3.0052e-02 3.0052e-02 3.0052e-02 3.0052e-02 3.9186e-02 3.9186e-02 
630.95000 -6.8238e-03 3.1172e-02 2.8866e-01 -3.5496e-01 -3.1746e-01 3.7306e-01 -7.3294e-02 5.7187e-02 1.8124e-02 1.8124e-02 2.3670e-02 2.3670e-02 2.3670e-02 2.3670e-02 3.2010e-02 3.2010e-02 
398.10000 -7.1024e-03 1.8636e-02 2.2772e-01 -2.6956e-01 -2.5022e-01 2.8823e-01 -5.7430e-02 5.1202e-02 1.2583e-02 1.2583e-02 1.8350e-02 1.8350e-02 1.8350e-02 1.8350e-02 2.5705e-02 2.5705e-02 
251.18000 -8.2875e-03 1.0918e-02 1.8256e-01 -2.0136e-01 -1.9841e-01 2.1823e-01 -4.2616e-02 4.4583e-02 9.1557e-03 9.1557e-03 1.4157e-02 1.4157e-02 1.4157e-02 1.4157e-02 2.0231e-02 2.0231e-02 
158.48000 -9.6736e-03 8.4432e-03 1.4991e-01 -1.5269e-01 -1.6040e-01 1.6659e-01 -3.0022e-02 3.6719e-02 7.8625e-03 7.8625e-03 1.1122e-02 1.1122e-02 1.1122e-02 1.1122e-02 1.5710e-02 1.5710e-02 
100.00000 -8.8618e-03 7.7707e-03 1.2505e-01 -1.1920e-01 -1.3200e-01 1.2794e-01 -2.0757e-02 2.8377e-02 6.7687e-03 6.7687e-03 8.9104e-03 8.9104e-03 8.9104e-03 8.9104e-03 1.2059e-02 1.2059e-02 
63.09500 -6.5812e-03 7.8916e-03 1.0277e-01 -9.4192e-02 -1.0831e-01 9.7381e-02 -1.4928e-02 1.9854e-02 5.6773e-03 5.6773e-03 7.1247e-03 7.1247e-03 7.1247e-03 7.1247e-03 9.0225e-03 9.0225e-03 
39.81000 -4.1822e-03 8.3873e-03 8.5347e-02 -7.7210e-02 -9.1634e-02 7.7639e-02 -1.1699e-02 1.3295e-02 4.9264e-03 4.9264e-03 5.8784e-03 5.8784e-03 5.8784e-03 5.8784e-03 6.9179e-03 6.9179e-03 
